mood,job,need_size,event,response
pissed off,school board resouorce manager,large,performance,"We need to place a large order for the following paper supplies for the upcoming performance: 

- 500 sheets of heavy-weight cardstock (minimum 250 gsm) in assorted colors 
- 1000 sheets of standard printing paper (A4 size)
- 200 sheets of glossy photo paper for printouts 

We require the supplies to be delivered by April 15, 2025."
sad,retail store manager,small,conference,"I would like to place an order for 200 A4 sheets of eco-friendly paper, 100 A3 sheets in assorted colors, and 50 packs of sticky notes in various sizes. We need these supplies delivered by April 15, 2025, in preparation for our conference. Thank you."
sad,school board resouorce manager,medium,concert,"We would like to place a medium order for the following paper supplies for our upcoming concert:

- 200 sheets of high-quality glossy paper (A4 size) for promotional materials
- 150 sheets of cardstock (A5 size) for tickets
- 100 sheets of eco-friendly paper (A4 size) for programs

Please deliver these supplies by April 15, 2025. Thank you."
happy,restaurant manager,medium,parade,"I would like to place a medium order for the following paper supplies for the parade: 1000 sheets of sturdy poster paper, 500 rolls of crepe paper in various colors, and 2000 sheets of standard printing paper. We need these supplies delivered by April 15, 2025. Thank you!"
happy,restaurant manager,small,conference,"I would like to place an order for 500 sheets of A4 white paper, 200 sheets of cardstock, and 300 envelopes. I need these supplies by April 15, 2025, for the conference."
miserable,school teacher,small,festival,"I would like to order 500 sheets of colored cardstock paper, assorted colors, for our festival. Additionally, please include 300 sheets of white banner paper for signage. I need these supplies delivered by April 15, 2025. Thank you."
stressed,law firm receptionist,medium,reception,"We would like to place a medium order for the following paper supplies for our upcoming reception: 500 sheets of premium quality white cardstock (8.5x11 inches), 300 sheets of colored paper (various colors, 8.5x11 inches), and 200 envelopes (A2 size). We need these supplies delivered by April 15, 2025."
pissed off,city hall clerk,large,celebration,"I would like to place a large order for the following paper supplies for the upcoming celebration: 5000 sheets of 8.5x11 inch printing paper, 3000 sheets of 11x17 inch poster paper, and 1000 rolls of party streamers in assorted colors. I need these supplies delivered by April 15, 2025."
happy,office manager,small,demonstration,"I would like to order 500 sheets of A4 white paper and 200 sheets of A3 white paper for an upcoming demonstration. The supplies are needed by April 15, 2025."
miserable,non-profit director,small,celebration,"I would like to order 500 sheets of high-quality cardstock in assorted colors, 300 sheets of standard printer paper, and 200 sheets of decorative wrapping paper. I need these supplies by April 15, 2025, for an upcoming celebration. Thank you."
sad,school teacher,large,assembly,"I would like to place a large order for the following paper supplies for our upcoming assembly:

- 500 sheets of A4 white paper
- 200 sheets of colored paper (assorted colors)
- 300 sheets of cardstock (various colors)
- 100 rolls of wrapping paper (various designs)

I need these supplies delivered by April 15, 2025. Thank you."
pissed off,law firm receptionist,medium,gathering,"I would like to place a medium order for the following paper supplies: 500 reams of standard printer paper, 200 packs of colored cardstock, and 300 reams of legal size paper. I need these supplies delivered by April 15, 2025, for an event."
miserable,school principal,small,party,"I need to order 200 sheets of colorful cardstock, 100 packs of paper plates, and 100 cups. I need these supplies delivered by April 10, 2025, for the party."
stressed,law firm receptionist,large,festival,"I would like to place an order for 10,000 sheets of 100 lb cover stock in various colors, 5,000 sheets of 80 lb text paper, and 1,000 rolls of biodegradable packaging tape. We need these supplies delivered by May 15, 2025, for our upcoming festival. Thank you."
stressed,restaurant manager,small,exhibition,"I would like to order 500 sheets of high-quality cardstock, 300 sheets of A4 printer paper, and 200 sheets of poster paper for our upcoming exhibition. I need these supplies delivered by April 15, 2025."
miserable,restaurant manager,large,exhibition,"I would like to place a large order for various types of paper supplies for our upcoming exhibition. Specifically, I need:

- 1000 sheets of A4 printing paper
- 500 sheets of A3 poster paper
- 200 rolls of banner paper (width: 36 inches)
- 300 sheets of cardstock (various colors)

Please arrange for delivery by April 15, 2025. Thank you."
sad,school principal,large,reception,"I would like to place a large order for the following paper supplies for our reception: 

- 500 packs of A4 printer paper (500 sheets each)
- 200 reams of colored cardstock (assorted colors)
- 1000 sets of decorative invitation cards (with envelopes)
- 300 sheets of large poster paper (various sizes)

I need these supplies delivered by April 10, 2025. Thank you."
sad,law firm receptionist,small,festival,"I would like to order the following paper supplies for the festival: 500 sheets of A4 multi-purpose paper, 200 sheets of cardstock in various colors, and 200 paper plates. We will need the supplies delivered by April 15, 2025. Thank you."
stressed,restaurant manager,large,reception,"I would like to place a large order for the following paper supplies for the reception: 

- 100 sheets of high-quality cardstock (white)
- 500 sheets of standard printer paper (letter size)
- 200 sheets of colored paper (assorted colors)
- 100 table covers (disposable paper)
- 500 napkins (white)

Please deliver the order by April 15, 2025. Thank you."
stressed,restaurant manager,small,festival,"I would like to place a small order for the following paper supplies for our festival:

- 500 sheets of 100gsm white printing paper
- 200 sheets of 80gsm colored paper (assorted colors)
- 300 paper plates (9-inch size)
- 200 paper cups (12 oz size)
- 500 napkins (3-ply, white)

Please deliver these items by April 15, 2025. Thank you."
miserable,event manager,large,festival,"I would like to place a large order for the following paper supplies: 

- 10,000 sheets of A4 recycled paper
- 5,000 sheets of A3 colored paper
- 200 rolls of butcher paper
- 500 packs of cardstock (various colors)
- 2,000 paper plates for food service
- 10,000 napkins

Please deliver the supplies by May 15, 2025. Thank you."
stressed,hotel manager,small,festival,"I would like to place an order for the following paper supplies for the festival:

- 500 sheets of A4 colored paper
- 1000 sheets of A5 white paper
- 200 sheets of poster board (various colors)

Please deliver the supplies by April 15, 2025. Thank you!"
pissed off,business owner,medium,demonstration,"I need to order 5000 sheets of A4 printer paper, 2000 sheets of A3 drawing paper, and 1000 sheets of cardstock. I need the supplies delivered by April 15, 2025, for the demonstration event."
happy,school teacher,small,show,"Dear [Manufacturer's Name],

I would like to place an order for the following paper supplies for our upcoming show:

- 500 sheets of A4 printing paper (80gsm)
- 300 sheets of glossy photo paper (200gsm)
- 200 sheets of cardstock (250gsm, assorted colors)

I need these supplies delivered by April 15, 2025.

Thank you!

Best regards,
[Your Name]"
sad,restaurant manager,medium,celebration,"I would like to place a medium order for paper supplies for our upcoming celebration. Please provide the following items:

- 500 sheets of high-quality glossy paper (A4 size)
- 300 sheets of cardstock in various colors
- 200 paper plates (decorative design)
- 200 paper napkins (matching the plates)
- 100 disposable cups

I need these supplies delivered by April 15, 2025. Thank you."
sad,school teacher,large,meeting,"I would like to place a large order for paper supplies for our upcoming meeting. We need 2,000 sheets of A4 printer paper, 1,000 sheets of letterhead paper, and 500 cardstock sheets in various colors. Please deliver these supplies by April 15, 2025. Thank you."
stressed,non-profit director,large,gathering,"I would like to place a large order for paper supplies for our upcoming gathering. We need 500 reams of standard letter-sized paper, 200 reams of cardstock, and 300 packs of notepads. The supplies are needed by April 15, 2025. Thank you."
happy,school board resouorce manager,medium,exhibition,"Dear [Manufacturer's Name],

I would like to place a medium order for the following paper supplies for our upcoming exhibition:

- 500 sheets of A4 glossy paper
- 300 sheets of A3 matte paper
- 200 sheets of cardstock (220 GSM)
- 1000 sheets of standard printing paper (A4)

We will need these supplies delivered by April 15, 2025.

Thank you for your assistance.

Best regards,
[Your Name]  
[Your Position]  
[Your Organization]"
pissed off,event manager,large,assembly,"I need to order 500 reams of A4 paper and 300 reams of A3 paper from the manufacturer. I need the order delivered by April 10, 2025."
sad,business owner,large,gathering,"Dear [Paper Manufacturer's Name],

I would like to place a large order for the following paper supplies for an upcoming gathering:

- 500 reams of A4 printer paper (500 sheets per ream)
- 300 reams of letter-size cardstock (250 sheets per ream)
- 200 rolls of kraft paper (24 inches wide, 100 feet long)
- 100 reams of bright-colored paper (various colors)

I need the order delivered by April 15, 2025.

Thank you for your assistance.

Sincerely,
[Your Name]  
[Your Business Name]  
[Your Contact Information]"
happy,city hall clerk,small,gathering,"We would like to place an order for 500 sheets of A4 printer paper and 200 sheets of cardstock in assorted colors for our upcoming gathering. Please deliver these supplies by April 15, 2025. Thank you!"
stressed,hotel manager,small,festival,"I would like to place an order for 500 sheets of high-quality cardstock, 200 rolls of wrapping paper, and 300 sheets of decorative paper for our upcoming festival. I need these supplies delivered by April 15, 2025. Thank you."
miserable,retail store manager,small,reception,"I would like to order 500 sheets of A4 size white paper, 200 sheets of cardstock in assorted colors, and 100 envelopes. I need the supplies delivered by April 15, 2025, for our reception event."
miserable,restaurant manager,small,celebration,"I would like to order 200 sheets of high-quality cardstock in various colors and 100 rolls of decorative adhesive tape for our celebration. I need these supplies delivered by April 15, 2025."
miserable,retail store manager,medium,demonstration,"I would like to place a medium order for 500 reams of A4 standard paper, 200 reams of colorful cardstock, and 300 reams of recycled paper. Please deliver the supplies by April 15, 2025, for an upcoming demonstration event."
happy,hotel manager,large,celebration,"We would like to place a large order for assorted paper supplies for our upcoming celebration. Specifically, we need 500 reams of glossy photo paper, 300 reams of cardstock, and 200 reams of kraft paper. The order is needed by April 15, 2025. Thank you!"
miserable,event manager,medium,gathering,"I would like to place a medium order for the following paper supplies for our upcoming gathering: 

- 500 sheets of A4 size printing paper, 80gsm
- 200 sheets of A3 size paper, 200gsm for posters
- 300 sheets of colored paper in assorted colors, 160gsm
- 100 packs of 10 envelopes (C5 size)

I need these supplies delivered by April 10, 2025. Thank you."
stressed,restaurant manager,large,conference,"I would like to place a large order for paper supplies for an upcoming conference. We need the following items:

- 10,000 sheets of A4 printing paper
- 5,000 sheets of A3 printing paper
- 3,000 folders (presentation style)
- 2,000 name tags with lanyards

We require these supplies to be delivered by April 15, 2025."
miserable,business owner,large,demonstration,"I would like to place a large order for high-quality paper supplies for an upcoming demonstration. I need 10 reams of white A4 printer paper, 5 reams of colored cardstock (various colors), and 2000 sheets of large poster paper (24x36 inches). I require these supplies by April 15, 2025, to ensure adequate preparation time for the event. Thank you."
miserable,city hall clerk,large,meeting,"I would like to place a large order for paper supplies, including 500 reams of standard printing paper, 200 packets of colored paper, and 1000 envelopes. I need these supplies delivered by April 10, 2025, for an upcoming event."
miserable,school teacher,medium,conference,"I would like to place an order for 500 reams of A4 copy paper and 200 reams of letter-sized cardstock. I need these supplies delivered by April 15, 2025, for an upcoming conference."
miserable,city hall clerk,medium,party,"I would like to place a medium order for the following paper supplies: 500 sheets of 8.5x11 inch printer paper, 300 sheets of 11x17 inch cardstock, and 200 rolls of wrapping paper. I need these supplies delivered by April 15, 2025, for an upcoming party. Thank you."
miserable,city hall clerk,small,celebration,"I would like to place an order for 500 sheets of high-quality cardstock in various colors, 1000 sheets of standard copy paper, and 200 rolls of decorative washi tape. I need these supplies delivered by April 15, 2025, for the celebration event."
pissed off,school teacher,small,reception,"I would like to order 200 sheets of A4 printing paper, 100 sheets of cardstock, and 50 rolls of decorative wrapping paper. I need these supplies delivered by April 15, 2025, for an upcoming reception."
stressed,business owner,medium,party,"I would like to place a medium order for the following paper supplies for my upcoming party: 500 sheets of 8.5"" x 11"" white paper, 200 sheets of 12"" x 12"" colored cardstock, and 100 rolls of decorative washi tape. I need these supplies delivered by April 10, 2025."
pissed off,non-profit director,large,reception,"I would like to place a large order for assorted paper supplies for our upcoming reception. Please provide a variety of sizes and weights, including letterhead, envelopes, and cardstock. We need the supplies delivered by April 15, 2025. Thank you."
miserable,school board resouorce manager,medium,meeting,"I would like to place a medium order for A4 sheets, 80gsm, white paper. Please deliver 5,000 sheets by April 15, 2025, for our upcoming meeting. Thank you."
sad,office manager,medium,parade,"I would like to place a medium order for the following paper supplies for the parade:

- 500 sheets of colored poster paper (various bright colors)
- 300 sheets of white cardstock
- 200 rolls of crepe paper (various colors)
- 100 large sheets of biodegradable banner paper

I need these supplies delivered by April 15, 2025. Thank you!"
happy,hotel manager,small,assembly,"I would like to order 500 sheets of A4 paper and 200 sheets of cardstock for our assembly. We need the supplies delivered by April 15, 2025."
miserable,hotel manager,large,demonstration,"I would like to place a large order for the following paper supplies for an upcoming demonstration: 

- 500 reams of standard A4 printer paper
- 300 reams of colored paper (assorted colors)
- 2000 sheets of cardstock (white and cream)
- 1000 sheets of poster paper (large format)

I need these supplies delivered by April 15, 2025."
sad,hotel manager,large,celebration,"Dear [Paper Manufacturer],

I would like to place a large order for paper supplies for an upcoming celebration. Please provide the following items:

- A4 size printer paper: 10 boxes (500 sheets per box)
- Colored paper (various colors): 5 boxes (500 sheets per box)
- Cardstock: 3 boxes (250 sheets per box)
- Large poster paper: 2 rolls (24 inches by 100 feet)

We need these supplies delivered by April 15, 2025.

Thank you,
[Your Name]  
[Hotel Name]  
[Contact Information]"
happy,law firm receptionist,small,party,"I would like to order 100 sheets of colorful cardstock, 200 sheets of plain paper, and 50 paper party bags for an upcoming party. I need the supplies by April 15, 2025. Thank you!"
sad,hotel manager,medium,celebration,"I would like to order the following paper supplies for our upcoming celebration: 

- 500 sheets of high-quality cardstock (various colors)
- 1000 sheets of standard printer paper (A4 size)
- 200 sheets of decorative paper for invitations 

Please ensure the order is delivered by April 15, 2025. Thank you."
miserable,business owner,large,celebration,"I would like to place a large order for the following paper supplies for our celebration: 

- 500 sheets of 8.5"" x 11"" glossy paper
- 1000 sheets of 8.5"" x 11"" cardstock in assorted colors 
- 300 rolls of decorative wrapping paper
- 2000 paper plates
- 2000 paper cups
- 2000 napkins

I need these supplies delivered by April 15, 2025. Thank you."
pissed off,city hall clerk,large,show,"I need a large order of various sizes of paper for our upcoming show, including A4, A3, and cardstock. I require 10,000 sheets of A4, 5,000 sheets of A3, and 2,000 sheets of cardstock. The order needs to be delivered by May 1, 2025."
miserable,business owner,medium,reception,"I would like to place a medium order for 500 sheets of high-quality A4 paper, 300 sheets of cardstock in various colors, and 200 sheets of specialty paper for invitations. I need these supplies delivered by April 15, 2025, in preparation for the reception."
pissed off,business owner,large,meeting,"I need to order 10,000 sheets of A4 80gsm paper and 5,000 sheets of A3 100gsm paper for our upcoming event. I need the supplies delivered by April 15, 2025."
pissed off,hotel manager,large,ceremony,"I would like to place a large order for high-quality paper supplies for an upcoming ceremony. We need 500 sheets of A4 white cardstock, 200 sheets of A3 colored paper, and 300 envelopes in various sizes. Please ensure the order is delivered by April 15, 2025. Thank you."
stressed,office manager,large,reception,"I would like to place a large order for the following paper supplies for our upcoming reception: 

- 2000 sheets of A4 paper
- 1000 sheets of letterhead
- 500 sheets of cardstock
- 300 packs of envelopes (various sizes)

We need these supplies delivered by April 15, 2025. Thank you."
miserable,city hall clerk,small,show,"I would like to order 500 sheets of white A4 paper and 200 sheets of colorful cardstock for our upcoming event. We need these supplies delivered by April 15, 2025."
happy,school board resouorce manager,small,reception,"I would like to place an order for 200 sheets of A4 recycled paper, 50 envelopes, and 100 sheets of cardstock in assorted colors. I need these supplies delivered by April 15, 2025, for our upcoming reception."
sad,law firm receptionist,small,conference,"I would like to order 500 A4 printing sheets and 200 A3 display boards for our conference. Please deliver them by April 15, 2025. Thank you."
stressed,event manager,large,demonstration,"I would like to place a large order for paper supplies for an upcoming demonstration. Please provide the following items:

- 500 reams of A4 printing paper (500 sheets per ream)
- 200 poster-sized sheets (24""x36"")
- 300 rolls of banners (various colors)
- 100 packs of cardstock (250 sheets per pack)

I need these supplies delivered by April 15, 2025. Thank you."
happy,restaurant manager,large,festival,"We need to order 10,000 sheets of high-quality, colorful paper for festival flyers, 5,000 sheets of eco-friendly cardstock for event signage, and 2,000 sheets of large poster paper for promotional displays. The supplies are needed by April 15, 2025, for our festival preparations."
miserable,school principal,medium,celebration,"I would like to place a medium order for the following paper supplies for our celebration: 
- 500 sheets of colorful construction paper (various colors)
- 300 sheets of white cardstock
- 200 sheets of patterned wrapping paper
- 100 rolls of decorative masking tape

I need these supplies delivered by April 15, 2025. Thank you."
miserable,city hall clerk,large,reception,"I would like to place a large order for the following paper supplies for our upcoming reception:

- 500 sheets of A4 printing paper
- 300 sheets of card stock for invitations
- 200 sheets of colored paper for decorations
- 100 envelopes for invitations

Please deliver these supplies by April 15, 2025. Thank you."
miserable,law firm receptionist,small,concert,"I would like to order the following paper supplies for the concert: 500 sheets of A4 glossy paper, 300 sheets of A5 card stock, and 200 sheets of poster paper. I need these supplies delivered by April 15, 2025. Thank you."
pissed off,hotel manager,large,meeting,"I need to order 1,000 sheets of high-quality A4 paper, 500 sheets of letter-sized paper, and 200 packs of sticky notes for an upcoming meeting. I need these supplies delivered by April 15, 2025."
pissed off,school principal,medium,party,"I would like to place an order for 500 sheets of colorful cardstock, 300 sheets of standard copier paper, 200 paper plates, and 200 paper cups. I need these supplies delivered by April 15, 2025, for an upcoming party. Thank you."
pissed off,school board resouorce manager,medium,show,"I would like to place an order for the following paper supplies for the upcoming show:

- 200 reams of A4 copy paper (80 gsm)
- 100 reams of colored cardstock (various colors)
- 50 rolls of adhesive tape
- 500 sheets of large-format poster paper (220 gsm)

Please ensure that the order is delivered by April 15, 2025. Thank you."
stressed,business owner,medium,gathering,"I would like to place a medium order for the following paper supplies for our upcoming gathering: 500 sheets of quality A4 printing paper, 300 sheets of cardstock for posters, and 200 sheets of recycled paper. I need these supplies delivered by April 15, 2025. Thank you."
sad,law firm receptionist,medium,celebration,"I would like to place a medium order for the following paper supplies for our celebration: 

- 500 sheets of premium white cardstock
- 1000 sheets of colorful printer paper
- 200 sheets of recycled paper
- 200 envelopes in assorted colors

I need these supplies delivered by April 15, 2025. Thank you."
stressed,school principal,medium,party,"I would like to place a medium order for the following paper supplies for an upcoming party: 

- 500 sheets of colored cardstock 
- 1000 sheets of standard printing paper 
- 200 sheets of decorative wrapping paper 
- 300 sheets of napkins 

Please have these supplies delivered by April 15, 2025. Thank you."
pissed off,hotel manager,medium,parade,"I would like to place a medium order for the following paper supplies for the parade: 

- 500 sheets of cardstock in assorted colors
- 1000 sheets of standard printer paper
- 300 sheets of decorative paper for banners

Please deliver the order by April 15, 2025. Thank you."
happy,school teacher,small,gathering,"I would like to order the following paper supplies for our upcoming gathering: 

- 500 sheets of A4 copier paper
- 200 sheets of cardstock in assorted colors
- 100 flyers printed in color on glossy paper

I need these supplies delivered by April 15, 2025. Thank you!"
